team,season,xg_mean,xg_std,xg_against_mean,xg_against_std,xg_diff_mean,goals_mean,goals_against_mean,goals_diff_mean,win_rate,draw_rate,loss_rate,total_matches,home_win_rate,away_win_rate,recent_xg_mean,recent_xg_against_mean,recent_goals_mean,recent_win_rate,recent_draw_rate,recent_loss_rate,recent_points
Real Betis,2022,1.4499377368421051,1.078603577316089,1.3569858157894736,0.8036961031631382,0.09295192105263164,1.2105263157894737,1.0789473684210527,0.13157894736842105,0.4473684210526316,0.23684210526315788,0.3157894736842105,38,0.47368421052631576,0.42105263157894735,1.3802976,1.2125196,1.2,0.4,0.4,0.2,8
Getafe,2022,1.0238535263157893,0.7979144037492532,1.2387439210526316,0.6036677807400708,-0.214890394736842,0.8947368421052632,1.1842105263157894,-0.2894736842105263,0.2631578947368421,0.3157894736842105,0.42105263157894735,38,0.3684210526315789,0.15789473684210525,1.1034166,0.88662,0.8,0.4,0.4,0.2,8
Celta Vigo,2022,1.1117551315789473,0.6984760568649271,1.2957287631578946,0.8518245109364871,-0.1839736315789474,1.131578947368421,1.394736842105263,-0.2631578947368421,0.2894736842105263,0.2631578947368421,0.4473684210526316,38,0.3684210526315789,0.21052631578947367,0.7194862,1.464756,1.0,0.2,0.2,0.6,4
Osasuna,2022,1.090056710526316,0.711283576759,1.3572871842105263,0.761114245886479,-0.26723047368421043,0.9736842105263158,1.105263157894737,-0.13157894736842105,0.39473684210526316,0.21052631578947367,0.39473684210526316,38,0.5789473684210527,0.21052631578947367,1.1689776,1.3341894,1.6,0.6,0.0,0.4,9
Barcelona,2023,2.1515399210526316,0.8100537720127774,1.1957136315789476,0.6557595886732741,0.955826289473684,2.0789473684210527,1.1578947368421053,0.9210526315789473,0.6842105263157895,0.18421052631578946,0.13157894736842105,38,0.7894736842105263,0.5789473684210527,1.9147200000000002,1.5603605999999999,2.2,0.8,0.0,0.2,12
Real Madrid,2023,2.1284793684210523,0.9200751064463374,1.0339048421052635,0.6090918731638477,1.0945745263157896,2.289473684210526,0.6842105263157895,1.605263157894737,0.7631578947368421,0.21052631578947367,0.02631578947368421,38,0.8421052631578947,0.6842105263157895,2.2285980000000003,1.3144912,3.2,0.6,0.4,0.0,11
Atletico Madrid,2023,1.8376634736842103,0.9324864820214224,1.1435710263157894,0.8101973080223909,0.694092447368421,1.8421052631578947,1.131578947368421,0.7105263157894737,0.631578947368421,0.10526315789473684,0.2631578947368421,38,0.8421052631578947,0.42105263157894735,1.6629276000000002,0.7200716,1.6,0.8,0.0,0.2,12
Sevilla,2023,1.4087798789473684,0.755352868924341,1.6575285421052635,0.761486642847912,-0.24874866315789465,1.263157894736842,1.4210526315789473,-0.15789473684210525,0.2631578947368421,0.2894736842105263,0.4473684210526316,38,0.3157894736842105,0.21052631578947367,1.8206419999999999,1.8898666,1.2,0.2,0.0,0.8,3
Valencia,2023,1.187512394736842,0.7364931137288951,1.3770573000000002,0.8170886021526929,-0.1895449052631579,1.0526315789473684,1.1842105263157894,-0.13157894736842105,0.34210526315789475,0.2631578947368421,0.39473684210526316,38,0.42105263157894735,0.2631578947368421,1.7725268,1.4982662,0.6,0.0,0.4,0.6,2
Villarreal,2023,1.5738685000000003,0.7435231549932898,1.7332868421052634,0.9514184478450407,-0.1594183421052632,1.7105263157894737,1.7105263157894737,0.0,0.3684210526315789,0.2894736842105263,0.34210526315789475,38,0.3684210526315789,0.3684210526315789,1.4952154,2.2680580000000004,2.2,0.4,0.4,0.2,8
