match_id,estilo_tactico,static_density,static_avg_clustering,static_avg_betweenness,static_avg_pagerank,static_avg_closeness,total_passes,pass_accuracy,resultado,goles_equipo,goles_rival,xg_equipo,xg_rival,contexto,rival
3773474,posesion_alta,0.625,0.1805970654484603,0.0692332766439909,0.0624999999999999,0.388449503829918,726,0.90633608815427,victoria,1,0,1.823044515,0.354709277,local,Real Valladolid
3773625,equilibrado,0.638095238095238,0.1705672263194018,0.0786948369091226,0.0666666666666666,0.4189834178797659,607,0.886326194398682,victoria,2,0,1.92933905,0.089311511,visitante,Sevilla
3773403,posesion_alta,0.7032967032967034,0.2354680811450773,0.0848176129426129,0.0714285714285714,0.4156870624277616,616,0.9074675324675324,victoria,2,1,1.7285390559999998,0.2267860289999999,local,Athletic Club
3773547,posesion_alta,0.6916666666666667,0.1402796252767545,0.0702728174603174,0.0625,0.4016543223754055,827,0.9262394195888756,victoria,4,0,4.178242825000001,1.1067934193,local,Osasuna
3773415,posesion_moderada,0.6625,0.1349429013729254,0.0810701294406651,0.0625,0.3175989729408707,950,0.9021052631578949,empate,1,1,2.145577861,1.083683705,local,Cádiz
3764440,posesion_alta,0.625,0.1382950069213308,0.0751587301587301,0.0625,0.391367070504286,784,0.9221938775510204,victoria,3,0,2.70108426,0.670472064,local,Elche
3773689,equilibrado,0.6190476190476191,0.1834255382025024,0.0848717948717948,0.0666666666666666,0.4177905806561957,618,0.8996763754045307,victoria,2,1,3.3227739440000006,1.3720789489999998,visitante,Villarreal
3773477,equilibrado,0.680952380952381,0.171432989795356,0.0752991452991453,0.0666666666666666,0.4256460020500384,645,0.8883720930232558,victoria,5,2,4.186569146,1.005236781,local,Real Betis
303731,posesion_alta,0.7362637362637363,0.2353100247284701,0.0751717032967033,0.0714285714285714,0.3631222068303374,733,0.8703956343792633,victoria,5,0,3.976931951,0.6710336225000001,local,Eibar
303532,posesion_alta,0.6333333333333333,0.0946890477614545,0.068781179138322,0.0624999999999999,0.3477932895446367,879,0.931740614334471,victoria,2,0,1.5943270349999996,0.756958526,local,Leganés
303516,posesion_alta,0.5666666666666667,0.1532359941075572,0.0903540903540903,0.0666666666666666,0.3517747390461349,660,0.9090909090909092,empate,2,2,1.817078918,2.589303723,visitante,Celta Vigo
303596,posesion_moderada,0.7564102564102564,0.1679483805760148,0.084071484071484,0.0769230769230769,0.3448027976465055,596,0.8942953020134228,empate,0,0,0.719925322,0.9542925625,local,Real Madrid
303430,posesion_alta,0.7197802197802198,0.2211734525520601,0.0823946886446886,0.0714285714285714,0.3483535890650177,668,0.8937125748502994,victoria,2,1,0.612086894,0.543885724,local,Villarreal
303725,posesion_alta,0.6375,0.1309632223777986,0.0731200396825396,0.0625,0.4114988488839591,850,0.923529411764706,victoria,4,1,2.567198417,0.912594162,visitante,Villarreal
